check1=( 1.000e+000), check2=(6.798e-002), dist=0.12684013810289
check1=( 4.168e-001), check2=(8.174e-002), dist=1.16929159031478
check1=( 3.782e-002), check2=(1.197e-001), dist=1.83214258152454
check1=( 6.233e-003), check2=(7.790e-002), dist=1.76750010896384
check1=( 3.693e-003), check2=(1.696e-002), dist=1.76760726868615
check1=( 1.165e-004), check2=(1.087e-002), dist=1.77230400319642
check1=( 6.924e-005), check2=(2.166e-003), dist=1.77230381951648
check1=( 6.385e-006), check2=(1.268e-003), dist=1.77239263554812
check1=( 3.523e-007), check2=(7.677e-004), dist=1.77239977866749
